X,Y,OBJECTID,SITE,ADDRESS,MUNICIPALI,ZIP,Additional,SCHOOL_DIS,OPEN_CLOSE,BREAKFAST_,LUNCH_STAR,DAYS,OPENING_DA,CLOSING_DA,COUNTY_PAR,FID_1
-79.910481890127073,40.405280197023501,48,Propel Charter School - Homestead,129 East 10th Ave.,HOMESTEAD,15120, , PROPEL, CLOSED,9 - 10 am,11 am - 1 pm,M - F,2017-06-26T00:00:00.000Z,2017-07-28T00:00:00.000Z, ,48
-79.848199424563745,40.345519383712656,49,Propel Charter School - Mckeesport,2412 Versailles Ave.,MCKEESPORT,15132, ,PROPEL, CLOSED,9 - 10 am,11 am - 1 pm,M - F,2017-06-26T00:00:00.000Z,2017-07-21T00:00:00.000Z, ,49
-80.106086795868919,40.454322157241791,50,Propel Charter School - Montour,340 Bilmar Drive,CRAFTON,15205, ,PROPEL, CLOSED,9 - 10 am,11 am - 1 pm,M - F,2017-06-26T00:00:00.000Z,2017-07-21T00:00:00.000Z, ,50
-80.015974060454482,40.460148583290561,51,Propel Charter School - Northside,1805 Buena Vista Street,PITTSBURGH,15212, ,PROPEL, CLOSED,9 - 10 am,11 am - 1 pm,M - F,2017-06-26T00:00:00.000Z,2017-07-21T00:00:00.000Z, ,51
-79.779715574114391,40.404126090746558,52,Propel Charter School - Pitcairn,425 Agatha Street,PITCAIRN,15140, ,PROPEL, CLOSED,9 - 10 am,11 am - 1 pm,M - F,2017-06-26T00:00:00.000Z,2017-07-14T00:00:00.000Z, ,52
-79.96430389540842,40.364113426393537,53,Prospect Park,Maple Drive & Hollyrood Road,WHITEHALL,15227, ,BALDWIN-WHITEHALL, OPEN, ,11:30 am - 1:30 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-03T00:00:00.000Z, ,53
-79.880075579724178,40.412182648410521,54,Rankin Christian Center,230 Third Street,RANKIN,15104, , WOODLAND HILLS, OPEN,9 - 10 am,noon - 2 pm,M - F,2017-06-19T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,54
-80.214800197471106,40.445505783964784,55,Redwood Estates Mhc,100 Redwood Drive,OAKDALE,15071, , WEST ALLEGHENY, CLOSED, ,noon - 2 pm,"M,W,F",2017-06-12T00:00:00.000Z,2017-08-04T00:00:00.000Z, ,55
-79.869512688859459,40.40659288705217,56,Resurrection Baptist Church,504 Fourth Street,BRADDOCK,15104, , WOODLAND HILLS, OPEN,8:30 - 9:30 am,11:30 am - 1:30 pm,M - F,2017-06-19T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,56
-79.845651147882108,40.504587896014641,57,Riverview Children'S Center,655 Sylvan Way,VERONA,15147, , RIVERVIEW, CLOSED,9 - 10 am,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,57
-79.911007689553173,40.405538320437188,58,Salvation Army Homestead,104 East 9th Ave.,HOMESTEAD,15120, , STEEL VALLEY, CLOSED,9 - 9:30 am,noon - 12:30 pm,M - F,2017-06-19T00:00:00.000Z,2017-07-28T00:00:00.000Z, ,58
-79.909187984238031,40.403300756824535,59,Second Baptist Church,108 West 12th Ave.,HOMESTEAD,15120, ,STEEL VALLEY, OPEN, ,11:30 am - 1:30 pm,M - F,2017-08-07T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,59
-79.893342784142135,40.289742725346571,60,Seventeen Acres Playground,128 Jefferson Drive,CLAIRTON,15025,Playground Sits In Center Of Jefferson Drive,CLAIRTON, OPEN, ,noon - 2 pm,M -F,2017-06-12T00:00:00.000Z,2017-07-12T00:00:00.000Z, ,60
-79.935418423121689,40.49539299359185,61,Sharpsburg Family Worship Center,610 Clay Street,SHARPSBURG,15215, ,FOX CHAPEL, OPEN,9 - 10 am,11:30 am - 1:30 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-18T00:00:00.000Z, ,61
-79.864538195081593,40.43522295277711,62,Sherwood Park,400 Sherwood Road,WILKINSBURG,15221,Hosanna House Camp Site, WILKINSBURG, CLOSED, ,noon - 2 pm,M - F,2017-06-12T00:00:00.000Z,2017-08-11T00:00:00.000Z, ,62
